USAGE_DATE,RPT_NM,ADJ_CCF,USAGE_THERM,CUST_COUNT,LATEST_UPDATE
1/30/2021,AMI_RES_EXCL_CAT,1666143.048,1700700.303,866240,4/14/2021
1/30/2021,AMI_NONRES_INCL_CAT,119265.264,121828.699,1384,4/14/2021
1/30/2021,AMI_NONRES_EXCL_CAT,572486.69,584805.063,32484,4/14/2021
1/29/2021,AMI_RES_INCL_CAT,5292.656,5405.566,1333,4/14/2021
1/29/2021,AMI_RES_EXCL_CAT,1543045.83,1575180.696,865381,4/14/2021
1/29/2021,AMI_NONRES_INCL_CAT,130427.883,133205.902,1385,4/14/2021
1/29/2021,AMI_NONRES_EXCL_CAT,523493.696,534835.859,32408,4/14/2021
1/28/2021,AMI_RES_INCL_CAT,5778.051,5901.066,1342,4/14/2021
1/28/2021,AMI_RES_EXCL_CAT,1545948.741,1578015.894,868108,4/14/2021
1/28/2021,AMI_NONRES_INCL_CAT,135791.47,138672.96,1394,4/14/2021
1/28/2021,AMI_NONRES_EXCL_CAT,529016.331,540492.27,32651,4/14/2021
1/27/2021,AMI_RES_INCL_CAT,5629.936,5749.934,1333,4/14/2021
1/27/2021,AMI_RES_EXCL_CAT,1756052.896,1792410.912,866630,4/14/2021
1/27/2021,AMI_NONRES_INCL_CAT,138366.521,141327.771,1387,4/14/2021
1/27/2021,AMI_NONRES_EXCL_CAT,567604.182,579898.028,32512,4/14/2021
1/26/2021,AMI_RES_INCL_CAT,6125.934,6256.494,1340,4/14/2021
1/26/2021,AMI_RES_EXCL_CAT,1841182.801,1879324.582,866478,4/14/2021
1/26/2021,AMI_NONRES_INCL_CAT,141916.044,144941.568,1384,4/14/2021
1/26/2021,AMI_NONRES_EXCL_CAT,579937.039,592471.486,32504,4/14/2021
1/25/2021,AMI_RES_INCL_CAT,6184.254,6316.072,1341,4/14/2021
1/25/2021,AMI_RES_EXCL_CAT,2035889.694,2078084.276,867894,4/14/2021
1/25/2021,AMI_NONRES_INCL_CAT,138260.162,141212.87,1396,4/14/2021
1/25/2021,AMI_NONRES_EXCL_CAT,573874.914,586294.476,32658,4/14/2021
1/24/2021,AMI_RES_INCL_CAT,5902.554,6028.101,1341,4/14/2021
1/24/2021,AMI_RES_EXCL_CAT,1787438.61,1824500.942,868085,4/14/2021
1/24/2021,AMI_NONRES_INCL_CAT,104970.069,107229.221,1396,4/14/2021
1/24/2021,AMI_NONRES_EXCL_CAT,427124.718,436526.988,32653,4/14/2021
1/23/2021,AMI_RES_INCL_CAT,5389.172,5503.901,1339,4/14/2021
1/23/2021,AMI_RES_EXCL_CAT,1509865.378,1541214.911,865802,4/14/2021
1/23/2021,AMI_NONRES_INCL_CAT,111234.954,113621.623,1390,4/14/2021
1/23/2021,AMI_NONRES_EXCL_CAT,422135.345,431365.163,32447,4/14/2021
1/22/2021,AMI_RES_INCL_CAT,4774.934,4876.437,1341,4/14/2021
1/22/2021,AMI_RES_EXCL_CAT,1087753.656,1110295.057,867778,4/14/2021
1/22/2021,AMI_NONRES_INCL_CAT,122744.058,125372.041,1395,4/14/2021
1/22/2021,AMI_NONRES_EXCL_CAT,443056.802,452658.864,32650,4/14/2021
1/21/2021,AMI_RES_INCL_CAT,4312.524,4404.31,1339,4/14/2021
1/21/2021,AMI_RES_EXCL_CAT,834317.88,851630.304,866910,4/14/2021
1/21/2021,AMI_NONRES_INCL_CAT,112296.742,114670.085,1387,4/14/2021
1/21/2021,AMI_NONRES_EXCL_CAT,381682.58,389964.329,32560,4/14/2021
1/20/2021,AMI_RES_INCL_CAT,4258.075,4349.099,1338,4/14/2021
1/20/2021,AMI_RES_EXCL_CAT,893767.824,912282.382,867053,4/14/2021
1/20/2021,AMI_NONRES_INCL_CAT,113246.745,115643.929,1392,4/14/2021
1/20/2021,AMI_NONRES_EXCL_CAT,387106.504,395479.414,32589,4/14/2021
1/19/2021,AMI_RES_INCL_CAT,4648.4,4747.604,1343,4/14/2021
1/19/2021,AMI_RES_EXCL_CAT,1051574.685,1073420.097,867759,4/14/2021
1/19/2021,AMI_NONRES_INCL_CAT,117181.968,119662.82,1392,4/14/2021
