USAGE_DATE,SoCal_AMI_NONAMI_MDTH,SoCal_CUST_COUNT,SD_AMI_NONAMI_MDTH,SD_CUST_COUNT,SEU_AMI_NONAMI_MDTH,SEU_CUST_COUNT
2020-03-24,1146.3606737,5998996.0,141.4649318604,901802.0,1287.8256055604,6900798.0
2020-03-23,1051.6912324999998,5997492.0,126.5366653604,899965.0,1178.2278978604,6897457.0
2020-03-22,1050.2541956999999,5997130.0,146.0828435604,901804.0,1196.3370392604,6898934.0
2020-03-21,1056.6616465,5996420.0,152.14802416039998,899578.0,1208.8096706604,6895998.0
2020-03-20,1251.4195089999998,5997036.0,158.66723736039998,877382.0,1410.0867463603997,6874418.0
2020-03-19,1469.8506313999999,5996337.0,185.4532227604,901417.0,1655.3038541603999,6897754.0
2020-03-18,1631.8727560999998,5995840.0,224.98931156039998,901739.0,1856.8620676603998,6897579.0
2020-03-17,1523.0575424,5996634.0,163.4370678604,901084.0,1686.4946102604001,6897718.0
2020-03-16,1423.7751003,5994928.0,163.0583546604,901892.0,1586.8334549604,6896820.0
2020-03-15,1143.0194490000001,5993712.0,156.47294736039998,900534.0,1299.4923963604,6894246.0
2020-03-14,1211.1646549,5992978.0,154.7565006604,900008.0,1365.9211555604,6892986.0
2020-03-13,1347.859407,5993424.0,174.93585586039998,899684.0,1522.7952628603998,6893108.0
2020-03-12,1265.0372863,5994033.0,150.12906906039998,901051.0,1415.1663553604,6895084.0
2020-03-11,900.6599218,5993508.0,121.8630929604,901563.0,1022.5230147604,6895071.0
2020-03-10,1021.9950376,5994858.0,134.2773870604,900165.0,1156.2724246604,6895023.0
2020-03-09,1129.2101001,5993628.0,154.6828348604,902115.0,1283.8929349604,6895743.0
2020-03-08,1037.9830293,5992579.0,139.1556541604,901642.0,1177.1386834604,6894221.0
2020-03-07,952.1094801,5991056.0,133.9788184604,902250.0,1086.0882985604,6893306.0
2020-03-06,882.6830074,5991120.0,130.06674686039997,901597.0,1012.7497542603999,6892717.0
2020-03-05,890.8232473999999,5991342.0,135.3615482604,901651.0,1026.1847956604,6892993.0
2020-03-04,940.8813071000001,5990806.0,144.5793402604,901634.0,1085.4606473604001,6892440.0
2020-03-03,1015.4097542,5993862.0,161.59951206039997,901576.0,1177.0092662604,6895438.0
2020-03-02,1233.5480473,5991522.0,171.9074576604,901360.0,1405.4555049604,6892882.0
2020-03-01,1103.20954,5990284.0,157.10157956039998,901760.0,1260.3111195604001,6892044.0
2020-02-29,847.6086418,5916161.0,130.7734042152,901020.0,978.3820460152,6817181.0
2020-02-28,815.2062728,5915745.0,114.45067521519998,900273.0,929.6569480152,6816018.0
2020-02-27,919.8127795,5915573.0,133.3260855152,900716.0,1053.1388650152,6816289.0
2020-02-26,944.160442,5915271.0,127.8788422152,900270.0,1072.0392842152,6815541.0
2020-02-25,985.952031,5916069.0,144.78920041519999,900838.0,1130.7412314152,6816907.0
2020-02-24,1108.3296086,5914736.0,158.22872901519997,899912.0,1266.5583376152,6814648.0
2020-02-23,1067.1593009,5913594.0,153.3436738152,899634.0,1220.5029747152,6813228.0
2020-02-22,1019.0278885,5914191.0,149.14577701519997,899482.0,1168.1736655152,6813673.0
2020-02-21,961.4634543999999,5914372.0,140.4468826152,900432.0,1101.9103370152,6814804.0
2020-02-20,1048.3122296000001,5913673.0,156.0172153152,899246.0,1204.3294449152002,6812919.0
2020-02-19,1018.3643345,5914672.0,144.4291765152,899695.0,1162.7935110152,6814367.0
2020-02-18,1089.8510328,5913399.0,160.4157618152,899672.0,1250.2667946152,6813071.0
2020-02-17,1154.336136,5913098.0,166.9971608152,899697.0,1321.3332968152,6812795.0
2020-02-16,1109.4512611999999,5911892.0,167.86832901519998,899331.0,1277.3195902152,6811223.0
2020-02-15,1228.3733408000003,5911908.0,191.6660743152,899216.0,1420.0394151152002,6811124.0
2020-02-14,1298.9242648,5911729.0,187.5242494152,896272.0,1486.4485142152,6808001.0
2020-02-13,1327.7537377,5911724.0,198.1840806152,900121.0,1525.9378183152,6811845.0
2020-02-12,1364.1202803,5911174.0,201.60841091519998,899773.0,1565.7286912152001,6810947.0
2020-02-11,1256.5143142000002,5912301.0,199.7100877152,899975.0,1456.2244019152001,6812276.0
2020-02-10,1349.2952883,5911703.0,210.62113921519997,899718.0,1559.9164275152,6811421.0
2020-02-09,1420.4786198000002,5911354.0,193.7438026152,900158.0,1614.2224224152,6811512.0
2020-02-08,1269.0676036,5911413.0,171.7949719152,900643.0,1440.8625755152,6812056.0
2020-02-07,1414.3844276000002,5911271.0,201.4220941152,900099.0,1615.8065217152002,6811370.0
2020-02-06,1593.9099664,5911237.0,228.81523331519998,899988.0,1822.7251997152,6811225.0
2020-02-05,1880.0061701000002,5910259.0,274.78270711519997,899997.0,2154.7888772152,6810256.0
2020-02-04,1973.6181308000002,5911799.0,230.5380145152,899944.0,2204.1561453152003,6811743.0
2020-02-03,1606.0369774,5910679.0,163.9195142152,900475.0,1769.9564916152,6811154.0
2020-02-02,1016.7152683,5908380.0,146.8650616152,900842.0,1163.5803299152,6809222.0
2020-02-01,979.7272047,5909995.0,147.82307131519997,900146.0,1127.5502760151999,6810141.0
2020-01-31,1095.5138947,5989241.0,167.6234270177,900699.0,1263.1373217177002,6889940.0
2020-01-30,1212.1309658,5989169.0,174.3253879177,900612.0,1386.4563537177,6889781.0
2020-01-29,1240.7306486000002,5988619.0,176.6450058177,901019.0,1417.3756544177002,6889638.0
2020-01-28,1186.2889496,5989466.0,167.1617101177,900553.0,1353.4506597177,6890019.0
2020-01-27,1249.3808706999998,5988394.0,174.68863091769998,900376.0,1424.0695016176999,6888770.0
2020-01-26,1218.8339517000002,5987512.0,172.3633452177,898024.0,1391.1972969177002,6885536.0
2020-01-25,1118.5151729,5987296.0,166.9141173177,899978.0,1285.4292902176999,6887274.0
2020-01-24,1166.5274964,5986862.0,167.37883831769997,900229.0,1333.9063347177,6887091.0
2020-01-23,1248.7131921,5986387.0,190.8054099177,900100.0,1439.5186020177,6886487.0
2020-01-22,1341.9680023,5986837.0,188.84059051769998,900336.0,1530.8085928177002,6887173.0
2020-01-21,1333.4957833,5985906.0,194.89311631770002,898856.0,1528.3888996177002,6884762.0
2020-01-20,1387.1284293,5985641.0,204.0941296177,901112.0,1591.2225589177,6886753.0
2020-01-19,1351.6927528,5984828.0,192.9024024177,900331.0,1544.5951552177,6885159.0
2020-01-18,1554.9712116,5985147.0,209.2221173177,900146.0,1764.1933289177,6885293.0
2020-01-17,1593.2666029000002,5985040.0,200.7603375177,899839.0,1794.0269404177002,6884879.0
2020-01-16,1725.0579237,5985425.0,218.93732081770003,900814.0,1943.9952445177,6886239.0
2020-01-15,1635.4906999,5984498.0,219.79286231770004,899929.0,1855.2835622177,6884427.0
2020-01-14,1650.2492224000002,5985067.0,213.5326371177,900133.0,1863.7818595177002,6885200.0
2020-01-13,1586.4354014,5984211.0,205.1781388177,899773.0,1791.6135402177001,6883984.0
2020-01-12,1542.6083659,5983392.0,200.3353300177,899875.0,1742.9436959177,6883267.0
2020-01-11,1606.5879171,5983657.0,216.02064461770001,900450.0,1822.6085617177,6884107.0
2020-01-10,1600.6749826999999,5983152.0,217.12490601770003,899511.0,1817.7998887177,6882663.0
2020-01-09,1584.5847593,5983408.0,202.44998601769998,899722.0,1787.0347453177,6883130.0
2020-01-08,1481.1472045000003,5982816.0,221.9430673177,899996.0,1703.0902718177003,6882812.0
2020-01-07,1324.9644037,5984118.0,174.9826687177,900029.0,1499.9470724177,6884147.0
2020-01-06,1307.3421859,5983127.0,181.8327311177,900343.0,1489.1749170177,6883470.0
2020-01-05,1368.9362095000001,5982738.0,185.74788611769998,900277.0,1554.6840956177002,6883015.0
2020-01-04,1320.4966393,5982506.0,183.7534499177,899837.0,1504.2500892177,6882343.0
2020-01-03,1315.6957825000002,5982697.0,178.6335991177,899831.0,1494.3293816177002,6882528.0
2020-01-02,1369.5815386,5982180.0,180.6697321177,900130.0,1550.2512707177,6882310.0
2020-01-01,1332.3800365000002,5983304.0,188.9587693177,900133.0,1521.3388058177002,6883437.0
2019-12-31,1391.8508977999998,5908895.0,205.87709114240002,899572.0,1597.7279889423999,6808467.0
2019-12-30,1706.1453908,5908284.0,238.07649454239998,899124.0,1944.2218853424001,6807408.0
2019-12-29,1726.6662926000004,5907483.0,234.98753914240004,898895.0,1961.6538317424004,6806378.0
2019-12-28,1773.3128661000003,5907218.0,235.9771719424,899069.0,2009.2900380424003,6806287.0
2019-12-27,1847.0750864000004,5907095.0,247.36626874240002,898791.0,2094.4413551424004,6805886.0
2019-12-26,1976.9933706,5906680.0,241.34672174239998,898305.0,2218.3400923424,6804985.0
2019-12-25,1581.7067382999999,5907534.0,198.9939342424,900585.0,1780.7006725423998,6808119.0
2019-12-24,1602.4374235,5908328.0,194.8398924424,899328.0,1797.2773159424,6807656.0
2019-12-23,1631.8280644000001,5907136.0,218.10451544240001,898453.0,1849.9325798424002,6805589.0
2019-12-22,1346.0457651999998,5908011.0,200.0715252424,900449.0,1546.1172904423997,6808460.0
2019-12-21,1344.2368379,5907452.0,191.4312878424,899444.0,1535.6681257424,6806896.0
2019-12-20,1459.5238394,5906961.0,211.33068594239998,899561.0,1670.8545253424,6806522.0
2019-12-19,1721.0786537000004,5907062.0,243.55833464240004,899612.0,1964.6369883424004,6806674.0
2019-12-18,1878.9389247000001,5906536.0,244.3890287424,899166.0,2123.3279534424,6805702.0
2019-12-17,1729.814875,5907464.0,223.73185584239997,900002.0,1953.5467308424,6807466.0
2019-12-16,1662.4131276,5906039.0,210.6083358424,899616.0,1873.0214634424,6805655.0
2019-12-15,1418.1676949999999,5905149.0,168.34758284240002,898999.0,1586.5152778423999,6804148.0
2019-12-14,1094.1130030000002,5904839.0,145.13100294240002,899054.0,1239.2440059424002,6803893.0
2019-12-13,1082.5265835999999,5903997.0,157.8198517424,898925.0,1240.3464353424,6802922.0
2019-12-12,1158.8733404,5903524.0,166.1085104424,898724.0,1324.9818508424,6802248.0
2019-12-11,1372.0634965,5902856.0,181.3005843424,898583.0,1553.3640808424,6801439.0
2019-12-10,1385.6433822000001,5903559.0,178.66702764239997,898795.0,1564.3104098424,6802354.0
2019-12-09,1246.4381466,5902714.0,160.4056881424,898347.0,1406.8438347424,6801061.0
2019-12-08,1048.5988939,5901241.0,142.4777611424,898474.0,1191.0766550423998,6799715.0
2019-12-07,1039.2247458,5901101.0,143.6172012424,897199.0,1182.8419470423999,6798300.0
2019-12-06,1204.9284326,5901524.0,159.1447311424,898640.0,1364.0731637423999,6800164.0
2019-12-05,1215.6011615,5901629.0,154.94985424240002,897933.0,1370.5510157424,6799562.0
2019-12-04,1301.708801,5900588.0,162.1262827424,897269.0,1463.8350837424,6797857.0
2019-12-03,1323.5348898999998,5905156.0,172.6468341424,899665.0,1496.1817240423998,6804821.0
2019-12-02,1361.7382513,5903030.0,178.8211989424,898582.0,1540.5594502424,6801612.0
2019-12-01,1521.3360611,5901610.0,188.7785864424,898481.0,1710.1146475424,6800091.0
2019-11-30,1750.3945392,5980158.0,201.8155819939,897665.0,1952.2101211939,6877823.0
2019-11-29,1792.1501932999997,5980146.0,214.1889026939,897797.0,2006.3390959938997,6877943.0
2019-11-28,1810.3160413999997,5980531.0,222.2898526939,898295.0,2032.6058940938997,6878826.0
2019-11-27,1517.8814858,5980962.0,181.03200909390003,898136.0,1698.9134948939002,6879098.0
2019-11-26,1221.8571629,5982038.0,148.85639089390003,898704.0,1370.7135537939,6880742.0
2019-11-25,1111.3994818,5980891.0,145.68972989390002,898103.0,1257.0892116939,6878994.0
2019-11-24,955.9090128,5979947.0,132.1037791939,898907.0,1088.0127919939,6878854.0
2019-11-23,965.7282755000001,5979938.0,133.90891259390003,898655.0,1099.6371880939,6878593.0
2019-11-22,1023.6214200999999,5979547.0,149.4569158939,898302.0,1173.0783359938998,6877849.0
2019-11-21,1056.9106814000002,5978848.0,135.7069823939,897631.0,1192.6176637939002,6876479.0
2019-11-20,1028.1143203,5978437.0,132.6688878939,897802.0,1160.7832081939,6876239.0
2019-11-19,760.5305926000001,5979776.0,123.4321556939,899049.0,883.9627482939001,6878825.0
2019-11-18,740.2764254,5977998.0,79.5557929939,701870.0,819.8322183939,6679868.0
2019-11-17,735.8178562,5977106.0,108.4743110939,899020.0,844.2921672939001,6876126.0
2019-11-16,811.6941109,5976970.0,112.4302476939,898866.0,924.1243585939001,6875836.0
2019-11-15,844.0698312999999,5976943.0,111.07002589390001,898608.0,955.1398571939,6875551.0
2019-11-14,808.7975595,5976597.0,110.9185542939,898633.0,919.7161137939,6875230.0
2019-11-13,796.9534708,5977133.0,109.08715389390001,898581.0,906.0406246939,6875714.0
2019-11-12,778.4852425,5976103.0,117.6024350939,898812.0,896.0876775939,6874915.0
2019-11-11,778.7137839000001,5975879.0,104.95156839390002,898609.0,883.6653522939001,6874488.0
2019-11-10,724.0324124,5974946.0,102.98693559390001,898641.0,827.0193479939,6873587.0
2019-11-09,723.7500629000001,5975070.0,103.9409913939,898813.0,827.6910542939002,6873883.0
2019-11-08,758.7947414,5974933.0,105.0355683939,898871.0,863.8303097939,6873804.0
2019-11-07,765.6551844,5975203.0,106.6039323939,899227.0,872.2591167939,6874430.0
2019-11-06,790.8479131000001,5974422.0,105.2934881939,898748.0,896.1414012939001,6873170.0
2019-11-05,808.8830484,5976112.0,113.0488839939,898949.0,921.9319323939001,6875061.0
2019-11-04,837.5190928000002,5974740.0,117.45864539390001,898933.0,954.9777381939002,6873673.0
2019-11-03,828.7071084,5973535.0,119.5064258939,896244.0,948.2135342939,6869779.0
2019-11-02,868.3488966,5976493.0,118.0153657939,898989.0,986.3642623938999,6875482.0
2019-11-01,956.4743778000001,5977275.0,124.6802418939,899011.0,1081.1546196939,6876286.0
2019-10-31,967.5102999,5973410.0,127.0256163946,899240.0,1094.5359162946,6872650.0
2019-10-30,896.5704542999999,5972922.0,113.0913111946,896823.0,1009.6617654945999,6869745.0
2019-10-29,817.4608051999999,5973928.0,111.02711379460001,899219.0,928.4879189945999,6873147.0
2019-10-28,750.9957226,5972224.0,101.51872649459999,899162.0,852.5144490946,6871386.0
2019-10-27,649.6312884,5970541.0,97.8098510946,899152.0,747.4411394946001,6869693.0
2019-10-26,620.0375485,5970705.0,91.6613986946,899241.0,711.6989471945999,6869946.0
2019-10-25,617.8081425,5970631.0,88.2483223946,898795.0,706.0564648946,6869426.0
2019-10-24,623.1489492,5970760.0,88.7247246946,899374.0,711.8736738946,6870134.0
2019-10-23,628.0028246,5970141.0,102.4236173946,899124.0,730.4264419946,6869265.0
2019-10-22,625.2603462,5971120.0,88.45254509460001,899107.0,713.7128912946,6870227.0
2019-10-21,639.7566015,5969514.0,91.6941749946,899210.0,731.4507764946,6868724.0
2019-10-20,641.4274171,5968268.0,98.4637593946,898832.0,739.8911764945999,6867100.0
2019-10-19,666.983403,5969377.0,96.5325095946,898591.0,763.5159125946,6867968.0
2019-10-18,676.4611049,5969244.0,93.9770306946,898129.0,770.4381355946,6867373.0
2019-10-17,658.7720024,5969401.0,91.0057673946,899258.0,749.7777697946,6868659.0
2019-10-16,652.2727528,5969149.0,91.4932530946,898872.0,743.7660058946001,6868021.0
2019-10-15,675.7049536,5969500.0,93.7687966946,898672.0,769.4737502946,6868172.0
2019-10-14,680.6520040999999,5967790.0,92.3084810946,898762.0,772.9604851945999,6866552.0
2019-10-13,657.7536211999999,5966477.0,95.2979558946,898613.0,753.0515770945999,6865090.0
2019-10-12,664.3038316,5966754.0,96.2060131946,898537.0,760.5098447946,6865291.0
2019-10-11,677.0789919,5966899.0,97.6011796946,898858.0,774.6801715946,6865757.0
2019-10-10,665.3611334,5966994.0,91.5313067946,898959.0,756.8924401946,6865953.0
2019-10-09,653.5366186000001,5966556.0,91.4050724946,898830.0,744.9416910946002,6865386.0
2019-10-08,639.5338937999999,5967686.0,89.3144695946,898728.0,728.8483633945999,6866414.0
