,ZIP_CD,labels
332,92318.0,13
333,92320.0,19
334,92321.0,15
335,92322.0,15
336,92324.0,13
337,92325.0,15
338,92335.0,13
339,92336.0,9
340,92337.0,13
341,92341.0,8
342,92345.0,15
343,92346.0,13
344,92350.0,13
345,92352.0,15
346,92354.0,13
347,92357.0,8
348,92359.0,13
349,92371.0,15
350,92372.0,15
351,92373.0,13
352,92374.0,13
353,92376.0,13
354,92377.0,13
355,92378.0,15
356,92382.0,15
357,92385.0,15
358,92391.0,15
359,92397.0,15
360,92399.0,19
361,92401.0,13
362,92402.0,8
363,92404.0,13
364,92405.0,13
365,92407.0,13
366,92408.0,13
367,92410.0,13
368,92411.0,13
369,92501.0,13
370,92503.0,9
371,92504.0,13
372,92505.0,9
373,92506.0,13
374,92507.0,13
375,92508.0,13
376,92509.0,13
377,92518.0,13
379,92530.0,19
380,92532.0,19
381,92543.0,8
382,92544.0,8
383,92545.0,8
384,92548.0,19
385,92551.0,13
386,92553.0,13
387,92555.0,13
388,92557.0,13
389,92562.0,19
390,92563.0,8
391,92567.0,19
392,92570.0,19
393,92571.0,19
394,92582.0,8
395,92583.0,8
396,92584.0,19
397,92585.0,19
398,92586.0,19
399,92587.0,19
400,92590.0,8
401,92591.0,8
402,92592.0,8
403,92595.0,19
404,92596.0,8
405,92602.0,12
406,92603.0,23
407,92604.0,12
408,92606.0,12
409,92610.0,23
410,92612.0,12
411,92614.0,12
412,92617.0,12
413,92618.0,12
414,92619.0,12
415,92620.0,12
416,92621.0,24
417,92624.0,23
418,92625.0,12
419,92626.0,12
420,92627.0,12
421,92629.0,23
422,92630.0,23
423,92637.0,23
424,92641.0,6
425,92644.0,6
426,92646.0,12
427,92647.0,6
428,92648.0,12
429,92649.0,6
430,92651.0,23
431,92653.0,23
432,92654.0,12
433,92655.0,6
434,92656.0,23
435,92657.0,12
436,92659.0,23
437,92660.0,12
438,92661.0,12
439,92662.0,12
440,92663.0,12
441,92670.0,6
442,92672.0,23
443,92673.0,23
444,92675.0,23
445,92676.0,23
446,92677.0,23
447,92678.0,23
448,92679.0,23
449,92683.0,6
450,92688.0,23
451,92690.0,23
452,92691.0,23
453,92692.0,23
454,92694.0,23
455,92701.0,6
456,92703.0,6
457,92704.0,12
458,92705.0,6
459,92706.0,6
460,92707.0,6
461,92708.0,12
462,92714.0,12
463,92780.0,6
464,92782.0,6
465,92801.0,24
466,92802.0,24
467,92804.0,24
468,92805.0,24
469,92806.0,6
470,92807.0,6
471,92808.0,12
472,92821.0,6
473,92823.0,6
474,92831.0,24
475,92832.0,24
476,92833.0,24
477,92835.0,24
478,92840.0,6
479,92841.0,6
480,92843.0,6
